Source,,RecordedDate,Duration (in seconds),cf_insight1,cf_insight1_Justify,cf_insight_1_Timer_Page Submit,cf_insight2,cf_insight2_Justify,cf_insight2 Timer_Page Submit,cf_insight3,cf_insight3_Justify,cf_insight3 Timer_Page Submit,cf_Justification,st_insight1,st_insight1_Justify,st_insight_1_Timer_Page Submit,st_insight2,st_insight2_Justify,st_insight2 Timer_Page Submit,st_insight3,st_insight3_Justify,st_insight3 Timer_Page Submit,st_Justification,ss_insight1,ss_insight1_Justify,ss_insight_1_Timer_Page Submit,ss_insight2,ss_insight2_Justify,ss_insight2 Timer_Page Submit,ss_insight3,ss_insight3_Justify,ss_insight3 Timer_Page Submit,ss_Justification,Dataset,MSP,completionID,PROLIFIC_PID
,Usable?,Recorded Date,Duration (in seconds),"${e://Field/Img1} - Background information about the dataset:[Field-Description] 


Fact: [Field-Insight1]


The given fact can be confirmed based on the image",${e://Field/Img1} - Enter a short explanation for your choice.,Timing - ${e://Field/Img1} - Timing - Page Submit,"${e://Field/Img1} - Background information about the dataset:[Field-Description]


Fact: [Field-Insight2]



The given fact can be confirmed based on the image",${e://Field/Img1} - Enter a short explanation for your choice.,Timing - ${e://Field/Img1} - Timing - Page Submit,"${e://Field/Img1} - Background information about the dataset:[Field-Description]
 

Fact: [Field-Insight3]



The given fact can be confirmed based on the image",${e://Field/Img1} - Enter a short explanation for your choice.,Timing - ${e://Field/Img1} - Timing - Page Submit,"${e://Field/Img1} - Please explain the reasons behind your ratings for this image. Your explanations should focus on the quality of the image, for example, the image is easy/difficult to understand, the activities in the fact are not shown in the image.","${e://Field/Img2} - Background information about the dataset:[Field-Description] 


Fact: [Field-Insight1]


The given fact can be confirmed based on the image",${e://Field/Img2} - Enter a short explanation for your choice.,Timing - ${e://Field/Img2} - Timing - Page Submit,"${e://Field/Img2} - Background information about the dataset:[Field-Description]


Fact: [Field-Insight2]



The given fact can be confirmed based on the image",${e://Field/Img2} - Enter a short explanation for your choice.,Timing - ${e://Field/Img2} - Timing - Page Submit,"${e://Field/Img2} - Background information about the dataset:[Field-Description]
 

Fact: [Field-Insight3]



The given fact can be confirmed based on the image",${e://Field/Img2} - Enter a short explanation for your choice.,Timing - ${e://Field/Img2} - Timing - Page Submit,"${e://Field/Img2} - Please explain the reasons behind your ratings for this image. Your explanations should focus on the quality of the image, for example, the image is easy/difficult to understand, the activities in the fact are not shown in the image.","${e://Field/Img3} - Background information about the dataset:[Field-Description] 


Fact: [Field-Insight1]


The given fact can be confirmed based on the image",${e://Field/Img3} - Enter a short explanation for your choice.,Timing - ${e://Field/Img3} - Timing - Page Submit,"${e://Field/Img3} - Background information about the dataset:[Field-Description]


Fact: [Field-Insight2]



The given fact can be confirmed based on the image",${e://Field/Img3} - Enter a short explanation for your choice.,Timing - ${e://Field/Img3} - Timing - Page Submit,"${e://Field/Img3} - Background information about the dataset:[Field-Description]
 

Fact: [Field-Insight3]



The given fact can be confirmed based on the image",${e://Field/Img3} - Enter a short explanation for your choice.,Timing - ${e://Field/Img3} - Timing - Page Submit,"${e://Field/Img3} - Please explain the reasons behind your ratings for this image. Your explanations should focus on the quality of the image, for example, the image is easy/difficult to understand, the activities in the fact are not shown in the image.",Dataset,MSP,completionID,PROLIFIC_PID
Acquintance,Yes,3/8/2022 16:42:01,1777,Strongly agree,A direct link with number 100 shows this fact.,61.468,Somewhat disagree,24 more people also survived after going to the emergency room; so from the visualization we cannot draw the conclusion confidently.  ,348.575,Strongly disagree,from the visualization I am reading that 24 patients went through this process and all of them survived.,56.807,,Strongly agree,"A direct link from Arrival to Emergency, indicating all 100 patients, is shown.",102.964,Agree,the fact is saying 38 while the visualization says 37; the difference is minor.,83.863,Disagree,The visualization is not properly reflecting the fact: the numbers are not consistent.,343.664,,Strongly agree,all four subplots reflect the fact.,60.653,Somewhat disagree,the third subplot also indicates the order of Emergency then Discharge-Alive; a different conclusion (like 37+20 patients are discharged alive after going to the emergency room) can be drawn.,127.141,Strongly disagree,"The process described in the fact happens in subplot 3, while the numbers are not consistent.",89.544,,0,0,748611,6
Acquintance,Yes,3/8/2022 16:54:51,1682,Strongly agree,arrival -&gt; emergency = 100,55.097,Strongly disagree,38+24 = 62,51.254,Strongly disagree,"it's 24, not 22, and all 24 are discharged alive",56.391,,Strongly agree,arrival -&gt; emergency = 100 ,174.334,Strongly disagree,38+8+16 = 62,46.336,Strongly disagree,"all 24 are discharged alive; and it's 24, not 22",54.515,,Strongly agree,# of arrival == # of emergency on each line,88.816,Strongly disagree,"37/37 and 20/24 are discharged alive after going to emergency room, the answer should be 57 ",98.727,Strongly disagree,"23 people went through the process, not 22; and 20 are discharged alive. ",136.7,,0,0,392479,6
Acquintance,Yes,3/8/2022 17:21:12,6092,Strongly agree,diagram says so,27.746,Strongly disagree,38 + 24 = 62 are discharged alive overall,32.08,Strongly disagree,"24, not 22 people go through Arrival-&gt; Emergency-&gt; ICU-&gt; Normal Floor",1511.694,,Strongly agree,It's on the diagram,14.159,Disagree,38 released just after ER then more people are released alive after ICU/floors after ER,421.31,Disagree,"24 people goes through the route, not 22",34.67,,Strongly agree,Because it's in the diagram,49.098,Strongly disagree,37+20 =57 alive,41.932,Strongly disagree,18 out of 24 died,869.094,,0,0,124322,5
MTurk,Yes,3/10/2022 18:06:13,664,Strongly agree,,22.176,Agree,,18.602,Disagree,,15.501,It seems a fairly simple image. Only three branches.,Strongly agree,,11.212,Agree,,14.975,Somewhat agree,,29.706,This is a bit harder to understand and the numbers don't quite match.,Strongly agree,,23.166,Strongly agree,,17.733,Somewhat disagree,,28.47,These separate lines are a bit harder for me to understand.,0,0,345699,3
MTurk,Yes,3/10/2022 18:26:57,1867,Strongly agree,,81.802,Strongly disagree,,26.237,Strongly disagree,,69.516,"The image is easy to understand, 24 patients went to floor and got discharged alive. Other facts are not shown in the image.",Strongly agree,,12.263,Strongly disagree,,61.585,Agree,,148.478,The image is easy to understand and the data in the fact can be read in the image.,Strongly agree,,50.274,Strongly agree,,22.214,Disagree,,173.19,The image data is difficult to read. the activities in the fact are shown in the image but does not make sense of the timeline.,0,0,386402,5
Prolific,Yes,3/17/2022 15:42:44,839,Strongly agree,,72.601,Agree,,37.189,Disagree,,62.519,"The quality of the image is okay, just that the last fact did not match the description on the image.",Strongly agree,,27.034,Agree,,14.129,Somewhat agree,,13.721,"The image is clear to understand, the facts do not match the numbers displayed on the image.",Strongly agree,,80.943,Strongly agree,,115.66,Strongly agree,,29.767,The quality of the image is alright and the facts match the numbers as displayed on the image.,0,1,747614,61fa9015d42cb19beec4905e
Prolific,Yes,3/18/2022 9:22:52,431,Somewhat disagree,,60.7,Somewhat agree,,23.341,Disagree,,13.947,62 people went to the icu but only 60 are accounted for between dying or moving to the floor so there are people unaccounted for.,Strongly agree,,10.883,Agree,,10.842,Neither agree nor disagree,,32.279,doesn't show numbers for icu to floor to discharge in who died versus who was discharged alive,Strongly agree,,24.685,Somewhat agree,,16.914,Somewhat agree,,57.09,"it shows 37 as arriving, emergency then being discharged which lined up with the fact. those who go to the icu to floor and discharged makes sense, but i don't see where they went back to the icu ",0,1,356752,5a78e410ae9a0b0001a97274
Prolific,Yes,3/19/2022 17:52:17,418,Strongly agree,,23.156,Strongly agree,,163.691,Disagree,,16.488,You can't tell if they went back to the ICU after being on the floor,Strongly agree,,12.368,Strongly agree,,11.029,Strongly disagree,,14.196,It was a little confusing to tell who went emergency to ICU and who went to the floor and then ICU,Strongly agree,,15.946,Strongly agree,,15.634,Strongly disagree,,26.49,It's easy to understand because it's step by step,0,1,571834,5efc1c8ea9f30301deb3ae10
Acquintance,Yes,3/9/2022 1:45:19,2848,Strongly agree,known graph structure,29.631,Strongly agree,Known graph,31.417,Neither agree nor disagree,Not sure about 7 people,12.894,,Strongly agree,Known graph ,64.945,Strongly agree,Known graph and structure,117.104,Neither agree nor disagree,Not sure about the 7 people going back to the ICU,255.812,,Strongly agree,Summing Arrival and Emergency count of every vertical bar,284.796,Strongly agree,Just by noticing the 2nd vertical bar,87.837,Neither agree nor disagree,Not sure if the followed the sequence from the visualization,146.824,,0,1,642069,6
Acquintance,Yes,3/18/2022 20:12:52,1854,Strongly agree,,16.383,Disagree,,29.891,Disagree,,26.613,the activities in the fact are not shown in the image.,Strongly agree,,21.135,Disagree,,29.901,Disagree,,44.103,easy to understand. but the activities in the fact are not shown consistent with the image.,Strongly agree,,48.867,Agree,,53.325,Disagree,,88.852, easy to understand. but not all the activities in the fact are shown in the image.,0,1,116126,6
