Record,Method,Dataset,Task,Insight,MSP,completionID,Timer,Duration (in seconds),LikertValue,LikertScale
1,SeqSynopsis,Basketball,Common pattern,Insight1,0,988454,33.505,407,Agree,6
1,SeqSynopsis,Basketball,Common pattern,Insight2,0,988454,26.809,407,Agree,6
2,SeqSynopsis,Basketball,Common pattern,Insight1,0,775671,73.282,904,Agree,6
3,SeqSynopsis,Basketball,Common pattern,Insight1,0,271966,59.761,1439,Agree,6
4,SeqSynopsis,Basketball,Common pattern,Insight1,0,287754,90.689,786,Agree,6
5,Coreflow,Basketball,Common pattern,Insight1,0,271356,35.644,1151,Agree,6
5,Sententree,Basketball,Common pattern,Insight1,0,271356,67.111,1151,Agree,6
6,Sententree,Basketball,Common pattern,Insight2,1,672165,30.752,1123,Agree,6
7,Sententree,Basketball,Common pattern,Insight2,1,192867,59.257,1144,Agree,6
8,SeqSynopsis,Basketball,Common pattern,Insight2,1,555932,22.863,386,Agree,6
9,Sententree,Basketball,Common pattern,Insight1,1,199690,117.893,859,Agree,6
10,Sententree,Basketball,Common pattern,Insight2,1,248103,49.826,1630,Agree,6
10,SeqSynopsis,Basketball,Common pattern,Insight2,1,248103,47.177,1630,Agree,6
12,SeqSynopsis,Basketball,Common pattern,Insight1,2,690096,74.845,491,Agree,6
13,SeqSynopsis,Basketball,Common pattern,Insight1,2,640398,145.348,881,Agree,6
14,SeqSynopsis,Basketball,Common pattern,Insight1,2,377131,57.418,511,Agree,6
14,Coreflow,Basketball,Common pattern,Insight3,2,377131,19.547,511,Agree,6
16,Coreflow,Basketball,Common pattern,Insight1,3,643146,45.154,479,Agree,6
17,SeqSynopsis,Basketball,Common pattern,Insight3,3,988075,30.755,352,Agree,6
18,SeqSynopsis,Basketball,Common pattern,Insight1,3,795497,65.112,721,Agree,6
18,SeqSynopsis,Basketball,Common pattern,Insight3,3,795497,15.862,721,Agree,6
22,SeqSynopsis,Basketball,Common pattern,Insight1,4,911792,26.305,738,Agree,6
22,SeqSynopsis,Basketball,Common pattern,Insight2,4,911792,30.292,738,Agree,6
22,SeqSynopsis,Basketball,Common pattern,Insight3,4,911792,179.927,738,Agree,6
23,Coreflow,Basketball,Common pattern,Insight1,4,765509,12.51,389,Agree,6
23,Sententree,Basketball,Common pattern,Insight3,4,765509,12.003,389,Agree,6
24,Sententree,Basketball,Common pattern,Insight1,4,489301,95.635,2884,Agree,6
24,Sententree,Basketball,Common pattern,Insight3,4,489301,45.917,2884,Agree,6
24,SeqSynopsis,Basketball,Common pattern,Insight3,4,489301,25.152,2884,Agree,6
26,Sententree,Basketball,Common pattern,Insight1,5,336299,127.34,1035,Agree,6
26,Sententree,Basketball,Common pattern,Insight3,5,336299,38.554,1035,Agree,6
31,Sententree,Career,Anomaly detection,Insight1,0,277660,21.103,335,Agree,6
31,SeqSynopsis,Career,Anomaly detection,Insight2,0,277660,12.756,335,Agree,6
31,Sententree,Career,Anomaly detection,Insight3,0,277660,17.789,335,Agree,6
31,SeqSynopsis,Career,Anomaly detection,Insight3,0,277660,11.681,335,Agree,6
34,Coreflow,Career,Anomaly detection,Insight1,0,325690,55.481,477,Agree,6
34,SeqSynopsis,Career,Anomaly detection,Insight1,0,325690,25.048,477,Agree,6
34,Sententree,Career,Anomaly detection,Insight3,0,325690,18.015,477,Agree,6
34,SeqSynopsis,Career,Anomaly detection,Insight3,0,325690,10.911,477,Agree,6
35,Sententree,Career,Anomaly detection,Insight1,0,774065,42.789,2487,Agree,6
35,Sententree,Career,Anomaly detection,Insight2,0,774065,52.937,2487,Agree,6
36,SeqSynopsis,Career,Anomaly detection,Insight1,1,395949,30.512,454,Agree,6
36,Coreflow,Career,Anomaly detection,Insight2,1,395949,41.796,454,Agree,6
36,SeqSynopsis,Career,Anomaly detection,Insight3,1,395949,19.923,454,Agree,6
38,Sententree,Career,Anomaly detection,Insight1,1,738856,26.343,496,Agree,6
38,Coreflow,Career,Anomaly detection,Insight2,1,738856,17.161,496,Agree,6
39,Coreflow,Career,Anomaly detection,Insight1,1,496129,119.24,783,Agree,6
39,Sententree,Career,Anomaly detection,Insight1,1,496129,19.295,783,Agree,6
39,SeqSynopsis,Career,Anomaly detection,Insight1,1,496129,47.827,783,Agree,6
39,Coreflow,Career,Anomaly detection,Insight2,1,496129,50.313,783,Agree,6
39,SeqSynopsis,Career,Anomaly detection,Insight2,1,496129,23.503,783,Agree,6
39,SeqSynopsis,Career,Anomaly detection,Insight3,1,496129,11.214,783,Agree,6
40,Coreflow,Career,Anomaly detection,Insight1,1,698245,37.178,2429,Agree,6
40,Sententree,Career,Anomaly detection,Insight1,1,698245,269.51,2429,Agree,6
40,SeqSynopsis,Career,Anomaly detection,Insight1,1,698245,99.288,2429,Agree,6
40,Coreflow,Career,Anomaly detection,Insight2,1,698245,48.508,2429,Agree,6
40,SeqSynopsis,Career,Anomaly detection,Insight3,1,698245,24.301,2429,Agree,6
42,Coreflow,Career,Anomaly detection,Insight1,2,143147,52.445,419,Agree,6
42,Sententree,Career,Anomaly detection,Insight1,2,143147,13.104,419,Agree,6
42,SeqSynopsis,Career,Anomaly detection,Insight1,2,143147,26.969,419,Agree,6
42,SeqSynopsis,Career,Anomaly detection,Insight3,2,143147,16.083,419,Agree,6
43,SeqSynopsis,Career,Anomaly detection,Insight1,2,167528,52.327,1391,Agree,6
44,SeqSynopsis,Career,Anomaly detection,Insight3,2,138634,44.415,951,Agree,6
46,Sententree,Career,Anomaly detection,Insight2,3,492560,29.794,428,Agree,6
47,Coreflow,Career,Anomaly detection,Insight1,3,686153,24.579,708,Agree,6
47,Sententree,Career,Anomaly detection,Insight1,3,686153,32.828,708,Agree,6
47,SeqSynopsis,Career,Anomaly detection,Insight2,3,686153,25.099,708,Agree,6
47,Coreflow,Career,Anomaly detection,Insight3,3,686153,11.918,708,Agree,6
48,Sententree,Career,Anomaly detection,Insight1,3,405929,34.713,577,Agree,6
48,SeqSynopsis,Career,Anomaly detection,Insight1,3,405929,11.277,577,Agree,6
48,Coreflow,Career,Anomaly detection,Insight2,3,405929,16.089,577,Agree,6
48,SeqSynopsis,Career,Anomaly detection,Insight2,3,405929,17.481,577,Agree,6
48,Coreflow,Career,Anomaly detection,Insight3,3,405929,83.805,577,Agree,6
48,SeqSynopsis,Career,Anomaly detection,Insight3,3,405929,56.19,577,Agree,6
49,Sententree,Career,Anomaly detection,Insight1,3,593548,16.704,883,Agree,6
49,SeqSynopsis,Career,Anomaly detection,Insight2,3,593548,12.574,883,Agree,6
49,SeqSynopsis,Career,Anomaly detection,Insight3,3,593548,22.596,883,Agree,6
51,Coreflow,Career,Anomaly detection,Insight2,4,137584,10.989,481,Agree,6
52,Sententree,Career,Anomaly detection,Insight1,4,812407,42.053,644,Agree,6
53,Sententree,Career,Anomaly detection,Insight1,4,702151,16.333,489,Agree,6
53,SeqSynopsis,Career,Anomaly detection,Insight1,4,702151,18.871,489,Agree,6
53,SeqSynopsis,Career,Anomaly detection,Insight3,4,702151,30.626,489,Agree,6
54,Coreflow,Career,Anomaly detection,Insight1,4,504413,46.546,1927,Agree,6
54,Sententree,Career,Anomaly detection,Insight1,4,504413,16.05,1927,Agree,6
54,SeqSynopsis,Career,Anomaly detection,Insight1,4,504413,59.924,1927,Agree,6
56,Coreflow,Career,Anomaly detection,Insight1,5,177991,33.901,915,Agree,6
56,Sententree,Career,Anomaly detection,Insight1,5,177991,45.764,915,Agree,6
57,Coreflow,Career,Anomaly detection,Insight1,5,966058,18.972,1026,Agree,6
57,Sententree,Career,Anomaly detection,Insight1,5,966058,156.82,1026,Agree,6
57,Coreflow,Career,Anomaly detection,Insight3,5,966058,17.545,1026,Agree,6
60,Coreflow,Career,Anomaly detection,Insight1,5,932934,29.351,43209,Agree,6
60,SeqSynopsis,Career,Anomaly detection,Insight1,5,932934,77.721,43209,Agree,6
60,SeqSynopsis,Career,Anomaly detection,Insight3,5,932934,20.411,43209,Agree,6
61,Sententree,Emergency,Common pattern,Insight2,0,748611,83.863,1777,Agree,6
64,Coreflow,Emergency,Common pattern,Insight2,0,345699,18.602,664,Agree,6
64,Sententree,Emergency,Common pattern,Insight2,0,345699,14.975,664,Agree,6
65,Sententree,Emergency,Common pattern,Insight3,0,386402,148.478,1867,Agree,6
66,Coreflow,Emergency,Common pattern,Insight2,1,747614,37.189,839,Agree,6
66,Sententree,Emergency,Common pattern,Insight2,1,747614,14.129,839,Agree,6
67,Sententree,Emergency,Common pattern,Insight2,1,356752,10.842,431,Agree,6
70,SeqSynopsis,Emergency,Common pattern,Insight2,1,116126,53.325,1854,Agree,6
71,Sententree,Emergency,Common pattern,Insight2,2,673442,19.438,930,Agree,6
72,Coreflow,Emergency,Common pattern,Insight2,2,475999,10.84,897,Agree,6
73,Coreflow,Emergency,Common pattern,Insight1,2,183483,54.821,528,Agree,6
73,Sententree,Emergency,Common pattern,Insight1,2,183483,10.945,528,Agree,6
74,Coreflow,Emergency,Common pattern,Insight1,2,788696,61.063,11806,Agree,6
74,Sententree,Emergency,Common pattern,Insight2,2,788696,11.32,11806,Agree,6
76,Coreflow,Emergency,Common pattern,Insight1,3,739562,14.897,230,Agree,6
76,SeqSynopsis,Emergency,Common pattern,Insight1,3,739562,12.519,230,Agree,6
76,SeqSynopsis,Emergency,Common pattern,Insight2,3,739562,13.51,230,Agree,6
76,Coreflow,Emergency,Common pattern,Insight3,3,739562,11.136,230,Agree,6
76,SeqSynopsis,Emergency,Common pattern,Insight3,3,739562,14.697,230,Agree,6
78,Sententree,Emergency,Common pattern,Insight1,3,376665,32.471,552,Agree,6
80,Sententree,Emergency,Common pattern,Insight1,3,315142,98.212,1289,Agree,6
82,Sententree,Emergency,Common pattern,Insight1,4,107733,14.117,544,Agree,6
82,SeqSynopsis,Emergency,Common pattern,Insight1,4,107733,56.116,544,Agree,6
84,SeqSynopsis,Emergency,Common pattern,Insight1,4,931350,38.859,4696,Agree,6
85,Coreflow,Emergency,Common pattern,Insight1,4,383569,54.802,1201,Agree,6
85,Coreflow,Emergency,Common pattern,Insight2,4,383569,12.76,1201,Agree,6
86,Coreflow,Emergency,Common pattern,Insight2,5,814102,11.846,617,Agree,6
86,Sententree,Emergency,Common pattern,Insight2,5,814102,11.709,617,Agree,6
86,SeqSynopsis,Emergency,Common pattern,Insight2,5,814102,52.381,617,Agree,6
90,SeqSynopsis,Emergency,Common pattern,Insight1,5,485249,76.921,1267,Agree,6
