0	BS	3/25/1993	
0	MS	3/25/1995		
0	PhD	3/24/1997		
0	Journal	11/23/1993		
0	Conference	7/24/1994	
0	Book	7/23/2006	
0	Newspaper	7/21/2004			
0	Journal	7/23/1997		
0	Conference	11/22/1997		
0	Assistant Professor	11/22/1998	3/24/2001	
0	Journal	11/22/1999		
0	Associate Professor	3/30/2001	7/21/2011	
0	Journal	11/21/2001		
0	Conference	7/22/2002		
0	Conference	3/23/2003		
0	Journal	7/22/2003		
0	Conference	3/22/2004				
0	Conference	7/21/2006		
0	Conference	7/21/2007		
0	Conference	3/21/2008		
0	Journal	3/21/2009		
0	Conference	11/19/2010		
0	Professor	7/23/2011	12/1/2012	
0	Journal	3/20/2012		
1	BS	3/25/1993		
1	Journal	3/25/1994		
1	Conference	7/24/1995		
1	Conference	11/23/1995		
1	MS	3/24/1996		
1	Journal	7/23/1996		
1	Conference	7/23/1998		
1	Conference	11/22/1998		
1	Journal	3/24/1999		
1	PhD	7/23/1999		
1	Assistant Professor	3/23/2000	7/22/2002	
1	Conference	3/23/2001		
1	Associate Professor	7/25/2002	11/11/2003	
1	Journal	11/21/2002		
1	Book	3/23/2003		
1	Journal	7/22/2003		
1	Professor	11/21/2003	12/1/2012	
1	Journal	3/22/2004		
1	Conference	11/20/2004		
1	Journal	7/21/2006		
1	Journal	3/21/2011		
1	Journal	11/19/2011		
1	Conference	3/20/2012		
2	Conference	11/23/1992		
2	Journal	3/25/1993		
2	BS	3/25/1994		
2	Journal	7/24/1994		
2	Journal	11/23/1994		
2	MS	3/25/1995		
2	Conference	7/24/1995		
2	Conference	3/24/1998		
2	Conference	7/23/1998		
2	Conference	11/22/1998		
2	PhD	7/23/1999		
2	Assistant Professor	11/22/1999	3/23/2002	
2	Journal	11/21/2000		
2	Journal	11/21/2001		
2	Associate Professor	3/27/2002	7/20/2010	
2	Conference	11/21/2002		
2	Journal	3/23/2003		
2	Book	3/22/2004		
2	Journal	7/21/2004		
2	Journal	3/22/2005		
2	Conference	7/21/2005		
2	Journal	3/22/2006		
2	Conference	7/21/2006		
2	Conference	11/20/2006		
2	Journal	3/22/2007		
2	Conference	7/20/2008		
2	Conference	7/20/2010		
2	Professor	7/22/2010	12/1/2012	
2	Journal	7/20/2011		
2	Journal	11/19/2011		
3	Conference	7/24/1993		
3	BS	11/23/1993		
3	MS	3/25/1995		
3	Conference	7/23/1996		
3	Journal	11/22/1996		
3	Journal	11/22/1997		
3	Journal	3/24/1998		
3	Journal	7/23/1998		
3	PhD	3/24/1999		
3	Assistant Professor	7/23/1999	11/22/2001	
3	Journal	11/21/2000		
3	Conference	3/23/2001		
3	Journal	11/21/2001		
3	Associate Professor	11/29/2001	3/21/2006	
3	Journal	3/22/2004		
3	Professor	3/23/2006	12/1/2012	
3	Journal	7/21/2006		
3	Journal	3/22/2007		
3	Journal	11/20/2007		
3	Conference	3/21/2008		
3	Conference	7/20/2008		
3	Journal	11/19/2008		
3	Journal	11/19/2009		
3	Conference	3/21/2010		
3	Journal	7/20/2010		
3	Journal	11/19/2011		
3	Journal	7/19/2012		
4	BS	12/25/1982		
4	Journal	7/27/1984		
4	MS	12/29/1984		
4	Journal	8/27/1986		
4	Conference	2/15/1989		
4	Conference	1/31/1990		
4	PhD	9/26/1991		
4	Assistant Professor	8/2/1992	11/30/1997	
4	Conference	1/24/1996		
4	Associate Professor	12/1/1997	11/22/2005	
4	Journal	12/26/1997		
4	Conference	2/20/1999		
4	Conference	3/16/2000		
4	Conference	3/4/2001		
4	Conference	9/10/2003		
4	Conference	7/31/2005		
4	Professor	11/28/2005	12/1/2012	
4	Journal	11/29/2009		
4	Journal	4/30/2010		
5	BS	9/19/1983		
5	Journal	1/18/1984		
5	MS	2/9/1985		
5	Conference	1/1/1986		
5	Conference	1/28/1988		
5	PhD	10/24/1989		
5	Assistant Professor	12/21/1989	12/3/1990	
5	Associate Professor	5/23/1991	11/29/1999	
5	Conference	3/27/1993		
5	Journal	12/13/1994		
5	Newspaper	2/18/1997		
5	Conference	9/22/1998		
5	Professor	1/21/2000	12/1/2012	
5	Conference	11/26/2006		
5	Book	8/18/2007		
5	Conference	7/13/2011		
6	BS	3/25/1982		
6	Journal	10/2/1983		
6	MS	3/7/1984		
6	Conference	9/16/1985		
6	Journal	2/17/1986		
6	PhD	3/31/1987		
6	Assistant Professor	7/29/1988	12/7/1993	
6	Associate Professor	12/12/1993	12/2/1999	
6	Journal	9/25/1995		
6	Journal	1/28/1996		
6	Conference	9/18/1998		
6	Journal	1/24/1999		
6	Professor	12/10/1999	12/1/2012	
6	Conference	4/19/2005		
6	Journal	8/6/2006		
6	Conference	3/6/2007		
6	Journal	5/3/2008		
6	Conference	2/8/2009		
6	Conference	5/9/2010		
7	BS	1/15/1983		
7	MS	2/29/1984		
7	Conference	3/7/1987		
7	Conference	4/16/1988		
7	PhD	10/27/1989		
7	Journal	11/25/1990		
7	Assistant Professor	12/7/1991	12/6/1994	
7	Associate Professor	8/21/1996	12/1/1999	
7	Conference	7/9/1997		
7	Conference	5/3/1998		
7	Professor	12/6/1999	12/1/2012	
7	Book	3/1/2002		
7	Newspaper	9/1/2002		
7	Conference	11/28/2008		
7	Conference	2/23/2010		
8	Journal	5/23/1982		
8	BS	5/11/1984		
8	MS	9/6/1986		
8	Journal	7/13/1987		
8	Conference	4/26/1988		
8	PhD	7/4/1989		
8	Assistant Professor	2/6/1990	11/30/1998	
8	Journal	9/23/1993		
8	Conference	1/10/1995		
8	Conference	8/15/1996		
8	Conference	4/28/1997		
8	Associate Professor	12/1/1998	12/2/2003	
8	Journal	1/6/1999		
8	Conference	10/1/2000		
8	Journal	8/21/2002		
8	Professor	12/6/2003	12/1/2012	
8	Journal	1/22/2006		
8	Journal	8/16/2008		
8	Conference	4/20/2009		
9	BS	8/26/1983		
9	MS	12/18/1984		
9	Conference	2/7/1987		
9	Conference	3/17/1988		
9	PhD	10/27/1989		
9	Assistant Professor	11/12/1990	11/30/1993	
9	Associate Professor	12/1/1993	12/1/2003	
9	Conference	6/12/1994		
9	Conference	5/13/1998		
9	Newspaper	3/4/2000		
9	Journal	8/5/2001		
9	Journal	5/26/2002		
9	Professor	12/7/2003	12/1/2012	
9	Journal	9/15/2004		
9	Conference	12/4/2005		
9	Book	3/4/2007		
9	Journal	6/14/2010		
10	Conference	12/14/1981		
10	BS	9/9/1984		
10	Conference	12/24/1985		
10	MS	6/8/1987		
10	Conference	9/21/1990		
10	Conference	5/14/1991		
10	Conference	11/14/1993		
10	PhD	3/31/1998		
10	Journal	4/11/1995		
10	Conference	4/30/1996		
10	Assistant Professor	9/10/1998	11/29/2004	
10	Journal	6/21/2001		
10	Associate Professor	12/1/2004	11/22/2010	
10	Conference	6/18/2007		
10	Conference	7/23/2009		
10	Professor	11/29/2010	12/1/2012	
11	Journal	5/3/1982		
11	BS	4/21/1983		
11	Journal	1/6/1984		
11	Conference	1/18/1985		
11	MS	2/18/1986		
11	PhD	4/28/1990		
11	Assistant Professor	10/1/1991	11/29/1996	
11	Journal	8/30/1996		
11	Associate Professor	12/1/1996	12/1/2005	
11	Journal	7/22/1997		
11	Conference	5/17/1998		
11	Journal	1/28/2000		
11	Conference	5/3/2001		
11	Conference	2/28/2004		
11	Professor	12/6/2005	12/1/2012	
11	Journal	7/6/2010		
11	Conference	9/30/2011		
12	BS	7/31/1984		
12	MS	12/8/1985		
12	PhD	12/25/1989		
12	Conference	5/30/1991		
12	Assistant Professor	11/18/1992	1/25/1995	
12	Conference	1/13/1995		
12	Associate Professor	2/1/1995	6/1/2001	
12	Journal	9/29/1996		
12	Conference	4/25/1998		
12	Conference	3/9/1999		
12	Professor	6/17/2001	12/1/2012	
12	Conference	8/19/2002		
12	Conference	12/25/2009		
13	BS	3/9/1982		
13	MS	12/28/1983		
13	Conference	12/11/1984		
13	Conference	12/16/1986		
13	PhD	10/17/1988		
13	Conference	3/27/1989		
13	Journal	4/22/1990		
13	Assistant Professor	3/27/1992	3/26/2000	
13	Conference	11/2/1995		
13	Conference	8/30/1998		
13	Conference	11/6/1999		
13	Associate Professor	4/1/2000	11/20/2010	
13	Journal	11/9/2000		
13	Journal	1/4/2002		
13	Conference	10/1/2005		
13	Professor	11/22/2010	12/1/2012	
14	BS	9/17/1982		
14	Conference	4/17/1983		
14	MS	11/20/1984		
14	Journal	9/8/1988		
14	PhD	12/12/1989		
14	Assistant Professor	11/10/1994	10/11/2000	
14	Book	3/6/1996		
14	Conference	7/6/1997		
14	Conference	7/23/1998		
14	Associate Professor	12/1/2000	12/1/2011	
14	Conference	2/16/2001		
14	Conference	5/24/2002		
14	Conference	1/18/2004		
14	Journal	12/3/2005		
14	Journal	3/22/2010		
14	Professor	12/16/2011	12/1/2012	
15	Journal	1/26/1982		
15	BS	11/23/1982		
15	Journal	1/31/1984		
15	MS	5/30/1984		
15	Journal	11/5/1985		
15	Conference	8/17/1989		
15	PhD	1/27/1991		
15	Assistant Professor	5/3/1992	12/6/1997	
15	Journal	11/19/1994		
15	Conference	1/31/1996		
15	Associate Professor	12/12/1997	11/11/2005	
