country,type,date_start,date_end,policy_id,entry_type,correct_type,update_type,update_level,date_announced,init_country_level,type_sub_cat
Afghanistan,Closure and Regulation of Schools,2020-03-14,2020-04-21,3558044,update,original,Change of Policy,Strengthening,2020-03-14,National,Preschool or childcare facilities (generally for children ages 5 and below)
Afghanistan,Closure and Regulation of Schools,2020-03-14,2020-04-21,3558044,update,original,Change of Policy,Strengthening,2020-03-14,National,Primary Schools (generally for children ages 10 and below)
Afghanistan,Closure and Regulation of Schools,2020-03-14,2020-04-21,3558044,update,original,Change of Policy,Strengthening,2020-03-14,National,Secondary Schools (generally for children ages 10 to 18)
Afghanistan,Closure and Regulation of Schools,2020-03-14,2020-04-21,3558044,update,original,Change of Policy,Strengthening,2020-03-14,National,Higher education institutions (i.e. degree granting institutions)
Afghanistan,Closure and Regulation of Schools,2020-04-23,2020-05-23,1212064,update,original,Change of Policy,Strengthening,2020-06-03,National,Preschool or childcare facilities (generally for children ages 5 and below)
Afghanistan,Closure and Regulation of Schools,2020-04-23,2020-05-23,1212064,update,original,Change of Policy,Strengthening,2020-06-03,National,Primary Schools (generally for children ages 10 and below)
Afghanistan,Closure and Regulation of Schools,2020-04-23,2020-05-23,1212064,update,original,Change of Policy,Strengthening,2020-06-03,National,Secondary Schools (generally for children ages 10 to 18)
Afghanistan,Closure and Regulation of Schools,2020-04-23,2020-05-23,1212064,update,original,Change of Policy,Strengthening,2020-06-03,National,Higher education institutions (i.e. degree granting institutions)
Afghanistan,Closure and Regulation of Schools,2020-06-07,2020-09-08,1212064,update,original,Change of Policy,Strengthening,2020-06-07,National,Preschool or childcare facilities (generally for children ages 5 and below)
Afghanistan,Closure and Regulation of Schools,2020-06-07,2020-09-08,1212064,update,original,Change of Policy,Strengthening,2020-06-07,National,Primary Schools (generally for children ages 10 and below)
Afghanistan,Closure and Regulation of Schools,2020-06-07,2020-09-08,1212064,update,original,Change of Policy,Strengthening,2020-06-07,National,Secondary Schools (generally for children ages 10 to 18)
Afghanistan,Closure and Regulation of Schools,2020-06-07,2020-09-08,1212064,update,original,Change of Policy,Strengthening,2020-06-07,National,Higher education institutions (i.e. degree granting institutions)
Afghanistan,Curfew,2020-04-04,2020-04-25,5114451,new_entry,original,,,2020-04-03,Provincial,
Afghanistan,Curfew,2020-04-11,2020-04-25,2874945,update,original,,Strengthening,2020-04-11,National,
Afghanistan,Curfew,2020-04-23,2020-05-13,8713995,new_entry,original,,,2020-06-02,Provincial,
Afghanistan,Curfew,2020-05-21,2020-05-24,2874945,update,original,End of Policy,Strengthening,2020-05-21,National,
Afghanistan,External Border Restrictions,2020-06-24,2020-06-30,1983323,new_entry,original,,,2020-06-24,National,Other External Border Restriction
Afghanistan,External Border Restrictions,2020-06-24,2020-06-30,2035814,update,original,End of Policy,,2020-06-24,National,Health Certificates
Afghanistan,External Border Restrictions,2020-10-04,2020-10-17,6247123,new_entry,original,,,2020-10-04,Provincial,Other External Border Restriction
