id,time,policy
Afghanistan,2020-03-14 00:00:00,Closure_and_Regulation_of_Schools
Afghanistan,2020-03-14 00:00:00,Closure_and_Regulation_of_Schools
Afghanistan,2020-03-14 00:00:00,Closure_and_Regulation_of_Schools
Afghanistan,2020-03-14 00:00:00,Closure_and_Regulation_of_Schools
Afghanistan,2020-04-23 00:00:00,Closure_and_Regulation_of_Schools
Afghanistan,2020-04-23 00:00:00,Closure_and_Regulation_of_Schools
Afghanistan,2020-04-23 00:00:00,Closure_and_Regulation_of_Schools
Afghanistan,2020-04-23 00:00:00,Closure_and_Regulation_of_Schools
Afghanistan,2020-06-07 00:00:00,Closure_and_Regulation_of_Schools
Afghanistan,2020-06-07 00:00:00,Closure_and_Regulation_of_Schools
Afghanistan,2020-06-07 00:00:00,Closure_and_Regulation_of_Schools
Afghanistan,2020-06-07 00:00:00,Closure_and_Regulation_of_Schools
Afghanistan,2020-04-04 00:00:00,Curfew
Afghanistan,2020-04-11 00:00:00,Curfew
Afghanistan,2020-04-23 00:00:00,Curfew
Afghanistan,2020-05-21 00:00:00,Curfew
Afghanistan,2020-06-24 00:00:00,External_Border_Restrictions
Afghanistan,2020-06-24 00:00:00,External_Border_Restrictions
Afghanistan,2020-10-04 00:00:00,External_Border_Restrictions
Afghanistan,2020-03-27 00:00:00,Health_Monitoring
Afghanistan,2020-03-29 00:00:00,Internal_Border_Restrictions
Afghanistan,2020-03-31 00:00:00,Lockdown
Afghanistan,2020-04-18 00:00:00,Lockdown
Afghanistan,2020-04-29 00:00:00,Lockdown
Afghanistan,2020-05-02 00:00:00,Lockdown
Afghanistan,2020-05-02 00:00:00,Lockdown
Afghanistan,2020-05-21 00:00:00,Lockdown
Afghanistan,2020-03-31 00:00:00,Restriction_and_Regulation_of_Businesses
Afghanistan,2020-03-31 00:00:00,Restriction_and_Regulation_of_Businesses
Afghanistan,2020-03-31 00:00:00,Restriction_and_Regulation_of_Businesses
Afghanistan,2020-04-29 00:00:00,Restriction_and_Regulation_of_Businesses
Afghanistan,2020-03-28 00:00:00,Restriction_and_Regulation_of_Government_Services
Afghanistan,2020-04-18 00:00:00,Restriction_and_Regulation_of_Government_Services
Afghanistan,2020-04-29 00:00:00,Restriction_and_Regulation_of_Government_Services
Afghanistan,2020-05-07 00:00:00,Restriction_and_Regulation_of_Government_Services
Afghanistan,2020-03-31 00:00:00,Restrictions_of_Mass_Gatherings
Afghanistan,2020-06-06 00:00:00,Social_Distancing
Albania,2020-03-09 00:00:00,Closure_and_Regulation_of_Schools
Albania,2020-03-09 00:00:00,Closure_and_Regulation_of_Schools
Albania,2020-03-09 00:00:00,Closure_and_Regulation_of_Schools
Albania,2020-03-09 00:00:00,Closure_and_Regulation_of_Schools
Albania,2020-04-21 00:00:00,Declaration_of_Emergency
Albania,2020-03-14 00:00:00,External_Border_Restrictions
Albania,2020-03-21 00:00:00,Lockdown
Albania,2020-04-11 00:00:00,Lockdown
Albania,2020-03-08 00:00:00,Restrictions_of_Mass_Gatherings
Algeria,2020-03-12 00:00:00,Closure_and_Regulation_of_Schools
Algeria,2020-03-12 00:00:00,Closure_and_Regulation_of_Schools
Algeria,2020-03-12 00:00:00,Closure_and_Regulation_of_Schools
Algeria,2020-03-12 00:00:00,Closure_and_Regulation_of_Schools
Algeria,2020-03-31 00:00:00,Closure_and_Regulation_of_Schools
Algeria,2020-03-31 00:00:00,Closure_and_Regulation_of_Schools
Algeria,2020-03-31 00:00:00,Closure_and_Regulation_of_Schools
Algeria,2020-03-31 00:00:00,Closure_and_Regulation_of_Schools
Algeria,2020-05-12 00:00:00,Closure_and_Regulation_of_Schools
Algeria,2020-05-12 00:00:00,Closure_and_Regulation_of_Schools
Algeria,2020-05-12 00:00:00,Closure_and_Regulation_of_Schools
Algeria,2020-05-12 00:00:00,Closure_and_Regulation_of_Schools
Algeria,2020-08-13 00:00:00,Closure_and_Regulation_of_Schools
Algeria,2020-08-13 00:00:00,Closure_and_Regulation_of_Schools
Algeria,2020-10-04 00:00:00,Closure_and_Regulation_of_Schools
Algeria,2020-10-04 00:00:00,Closure_and_Regulation_of_Schools
Algeria,2020-10-04 00:00:00,Closure_and_Regulation_of_Schools
Algeria,2020-10-04 00:00:00,Closure_and_Regulation_of_Schools
Algeria,2020-10-19 00:00:00,Closure_and_Regulation_of_Schools
Algeria,2020-11-02 00:00:00,Closure_and_Regulation_of_Schools
Algeria,2020-11-12 00:00:00,Closure_and_Regulation_of_Schools
Algeria,2020-03-28 00:00:00,Curfew
Algeria,2020-04-01 00:00:00,Curfew
Algeria,2020-04-02 00:00:00,Curfew
Algeria,2020-04-05 00:00:00,Curfew
Algeria,2020-04-18 00:00:00,Curfew
Algeria,2020-04-18 00:00:00,Curfew
Algeria,2020-04-24 00:00:00,Curfew
Algeria,2020-05-12 00:00:00,Curfew
Algeria,2020-06-14 00:00:00,Curfew
Algeria,2020-07-08 00:00:00,Curfew
Algeria,2020-07-09 00:00:00,Curfew
Algeria,2020-07-11 00:00:00,Curfew
Algeria,2020-07-12 00:00:00,Curfew
Algeria,2020-07-14 00:00:00,Curfew
Algeria,2020-07-14 00:00:00,Curfew
Algeria,2020-07-18 00:00:00,Curfew
Algeria,2020-07-18 00:00:00,Curfew
Algeria,2020-07-19 00:00:00,Curfew
Algeria,2020-07-24 00:00:00,Curfew
Algeria,2020-07-24 00:00:00,Curfew
Algeria,2020-07-27 00:00:00,Curfew
Algeria,2020-07-28 00:00:00,Curfew
Algeria,2020-07-29 00:00:00,Curfew
Algeria,2020-07-29 00:00:00,Curfew
Algeria,2020-07-29 00:00:00,Curfew
Algeria,2020-08-06 00:00:00,Curfew
Algeria,2020-08-06 00:00:00,Curfew
Algeria,2020-08-09 00:00:00,Curfew
Algeria,2020-08-13 00:00:00,Curfew
Algeria,2020-08-13 00:00:00,Curfew
Algeria,2020-09-01 00:00:00,Curfew
Algeria,2020-10-01 00:00:00,Curfew
Algeria,2020-10-31 00:00:00,Curfew
Algeria,2020-10-31 00:00:00,Curfew
Algeria,2020-11-10 00:00:00,Curfew
Algeria,2020-11-10 00:00:00,Curfew
Algeria,2020-11-17 00:00:00,Curfew
Algeria,2020-12-02 00:00:00,Curfew
Algeria,2020-12-17 00:00:00,Curfew
Algeria,2020-07-15 00:00:00,Health_Monitoring
Algeria,2020-07-31 00:00:00,Health_Monitoring
Algeria,2020-07-31 00:00:00,Health_Monitoring
Algeria,2020-08-13 00:00:00,Health_Monitoring
Algeria,2020-06-20 00:00:00,Health_Resources
Algeria,2020-07-03 00:00:00,Health_Resources
Algeria,2020-07-07 00:00:00,Health_Resources
