Sports,User ID,Gender,Latitude,Longitude,Altitude,Heart Rate,Time Stamp
 'bike',396826535, 'male',60.17334877,24.64977041,41.6,100,1408898746
 'bike',396826535, 'male',60.1732398,24.65014273,40.6,111,1408898754
 'bike',396826535, 'male',60.17298021,24.65091068,40.6,120,1408898765
 'bike',396826535, 'male',60.17247797,24.65066887,38.4,119,1408898778
 'bike',396826535, 'male',60.17186115,24.64914529,37,120,1408898794
 'bike',396826535, 'male',60.17154498,24.64834976,34,116,1408898800
 'bike',396826535, 'male',60.17123669,24.64531233,34,125,1408898823
 'bike',396826535, 'male',60.17053396,24.64470145,34,128,1408898839
 'bike',396826535, 'male',60.16921012,24.64441588,34,131,1408898862
 'bike',396826535, 'male',60.16846932,24.64141516,34,132,1408898891
 'bike',396826535, 'male',60.168125,24.63826851,34,135,1408898914
 'bike',396826535, 'male',60.16679856,24.63621117,34,137,1408898938
 'bike',396826535, 'male',60.16588678,24.63406063,34,142,1408898962
 'bike',396826535, 'male',60.16585518,24.63249195,34,143,1408898975
 'bike',396826535, 'male',60.16524791,24.63136098,34,143,1408898990
 'bike',396826535, 'male',60.16498522,24.62941823,34,148,1408899009
 'bike',396826535, 'male',60.16488212,24.62569314,34,148,1408899043
 'bike',396826535, 'male',60.16684089,24.6238829,34,148,1408899071
 'bike',396826535, 'male',60.16842389,24.62139197,33.2,142,1408899096
 'bike',396826535, 'male',60.16919805,24.62025228,31.6,141,1408899108
 'bike',396826535, 'male',60.16996893,24.61888754,29.8,143,1408899121
 'bike',396826535, 'male',60.17096495,24.61700622,29.8,146,1408899140
 'bike',396826535, 'male',60.17224085,24.6153,29.8,151,1408899162
 'bike',396826535, 'male',60.17347123,24.6146763,29.8,149,1408899178
 'bike',396826535, 'male',60.17483823,24.61294368,29.8,146,1408899199
 'bike',396826535, 'male',60.17603072,24.6123551,29.8,147,1408899215
 'bike',396826535, 'male',60.17738071,24.61154105,29.8,157,1408899236
 'bike',396826535, 'male',60.1782982,24.61084393,32,155,1408899251
 'bike',396826535, 'male',60.17885945,24.61042358,34.2,159,1408899260
 'bike',396826535, 'male',60.18032729,24.60953778,34.2,152,1408899285
 'bike',396826535, 'male',60.18173536,24.60831502,33.8,146,1408899312
 'bike',396826535, 'male',60.18242905,24.60681642,32.2,147,1408899324
 'bike',396826535, 'male',60.18317755,24.60502756,34.4,154,1408899343
 'bike',396826535, 'male',60.18365658,24.60354187,37,157,1408899361
 'bike',396826535, 'male',60.18399722,24.60216933,38.6,153,1408899374
 'bike',396826535, 'male',60.18433962,24.60017745,36.6,143,1408899389
 'bike',396826535, 'male',60.18445169,24.59906031,34.4,142,1408899396
 'bike',396826535, 'male',60.18456819,24.59714295,32.6,138,1408899411
 'bike',396826535, 'male',60.18464715,24.5963766,29.8,135,1408899419
 'bike',396826535, 'male',60.18487497,24.59423217,27.8,134,1408899435
 'bike',396826535, 'male',60.18518552,24.59248387,26.2,133,1408899447
 'bike',396826535, 'male',60.18533539,24.59105006,23.6,133,1408899456
